Open time,Open,High,Low,Close,Volume,Close time,Quote asset volume,Number of trades,Taker buy base asset volume,Taker buy quote asset volume,Ignore
2023-12-18 00:00:00,41374.64000000,41415.46000000,41350.00000000,41415.45000000,47.44409000,2023-12-18 00:00:59.999,1963094.43482850,1607,30.58939000,1265589.52738500,0
2023-12-18 00:01:00,41415.45000000,41417.49000000,41374.93000000,41413.59000000,48.55513000,2023-12-18 00:01:59.999,2009722.31756900,1371,25.91662000,1072621.72512620,0
2023-12-18 00:02:00,41413.59000000,41431.10000000,41350.00000000,41411.80000000,150.63910000,2023-12-18 00:02:59.999,6234951.15244090,1671,67.68208000,2800694.51043840,0
2023-12-18 00:03:00,41411.81000000,41417.61000000,41409.60000000,41415.43000000,17.62804000,2023-12-18 00:03:59.999,730062.85739520,659,9.43631000,390796.61699110,0
2023-12-18 00:04:00,41415.43000000,41442.38000000,41412.34000000,41442.37000000,27.02674000,2023-12-18 00:04:59.999,1119472.62960440,946,16.03201000,664070.05609650,0
2023-12-18 00:05:00,41442.37000000,41470.10000000,41431.10000000,41431.53000000,65.08131000,2023-12-18 00:05:59.999,2697157.49464020,1294,26.82820000,1111882.45607450,0
2023-12-18 00:06:00,41431.53000000,41435.97000000,41382.00000000,41382.00000000,26.23127000,2023-12-18 00:06:59.999,1086495.97940330,926,7.40123000,306545.54396080,0
2023-12-18 00:07:00,41382.01000000,41382.01000000,41313.28000000,41313.36000000,36.26217000,2023-12-18 00:07:59.999,1499479.17613760,1442,9.94102000,411020.04874160,0
2023-12-18 00:08:00,41313.36000000,41330.02000000,41263.17000000,41275.99000000,55.46419000,2023-12-18 00:08:59.999,2290462.18869320,1952,21.41027000,884229.16059910,0
2023-12-18 00:09:00,41275.99000000,41301.32000000,41263.19000000,41301.19000000,36.85040000,2023-12-18 00:09:59.999,1521139.47648000,1300,21.45137000,885446.44328900,0
2023-12-18 00:10:00,41301.20000000,41301.20000000,41271.42000000,41271.42000000,43.52838000,2023-12-18 00:10:59.999,1796907.25101190,1406,17.59792000,726453.88657920,0
2023-12-18 00:11:00,41271.43000000,41291.98000000,41227.82000000,41227.82000000,53.31117000,2023-12-18 00:11:59.999,2199971.61719170,2268,15.61522000,644461.59996570,0
2023-12-18 00:12:00,41227.82000000,41255.81000000,41212.92000000,41241.09000000,150.14161000,2023-12-18 00:12:59.999,6190725.75433580,2605,56.11852000,2313748.39582010,0
2023-12-18 00:13:00,41241.10000000,41247.52000000,41212.51000000,41239.19000000,45.74316000,2023-12-18 00:13:59.999,1886245.23596040,1376,15.89428000,655352.59696690,0
2023-12-18 00:14:00,41239.19000000,41264.62000000,41230.00000000,41230.01000000,33.88233000,2023-12-18 00:14:59.999,1397628.61234940,1073,13.72686000,566201.88641200,0
2023-12-18 00:15:00,41230.01000000,41233.78000000,41192.00000000,41192.01000000,109.76100000,2023-12-18 00:15:59.999,4522740.64367160,2481,24.62484000,1014809.64642770,0
2023-12-18 00:16:00,41192.00000000,41266.21000000,41192.00000000,41229.04000000,87.44391000,2023-12-18 00:16:59.999,3604397.95332740,1631,61.01711000,2514324.68556430,0
2023-12-18 00:17:00,41229.05000000,41275.98000000,41225.74000000,41256.01000000,26.05172000,2023-12-18 00:17:59.999,1074785.31486860,954,13.94920000,575391.23709440,0
2023-12-18 00:18:00,41256.00000000,41279.00000000,41249.58000000,41252.00000000,39.12412000,2023-12-18 00:18:59.999,1614503.40105260,1202,18.54383000,765204.83975100,0
2023-12-18 00:19:00,41252.01000000,41280.00000000,41252.00000000,41279.99000000,40.19055000,2023-12-18 00:19:59.999,1658273.23150140,972,29.99829000,1237712.07818790,0
2023-12-18 00:20:00,41279.99000000,41289.00000000,41250.02000000,41257.06000000,52.44543000,2023-12-18 00:20:59.999,2164227.55700780,1380,11.54478000,476410.09907490,0
2023-12-18 00:21:00,41257.07000000,41281.01000000,41257.06000000,41277.94000000,17.91973000,2023-12-18 00:21:59.999,739605.08320200,771,9.24852000,381660.34283660,0
2023-12-18 00:22:00,41277.93000000,41345.25000000,41277.63000000,41345.24000000,29.01046000,2023-12-18 00:22:59.999,1198552.76300600,1047,22.26132000,919655.51916900,0
2023-12-18 00:23:00,41345.25000000,41361.10000000,41331.60000000,41337.34000000,81.43636000,2023-12-18 00:23:59.999,3367166.71762940,1572,23.54826000,973706.77240670,0
2023-12-18 00:24:00,41337.33000000,41357.73000000,41337.33000000,41337.35000000,22.95443000,2023-12-18 00:24:59.999,949074.27800810,738,10.77608000,445525.73580130,0
2023-12-18 00:25:00,41337.34000000,41351.10000000,41325.24000000,41341.51000000,30.16193000,2023-12-18 00:25:59.999,1246828.25008070,836,16.41173000,678432.41248930,0
2023-12-18 00:26:00,41341.50000000,41391.10000000,41341.50000000,41372.52000000,23.01757000,2023-12-18 00:26:59.999,952279.00219060,954,17.16377000,710043.42396170,0
