Open time,Open,High,Low,Close,Volume,Close time,Quote asset volume,Number of trades,Taker buy base asset volume,Taker buy quote asset volume,Ignore
2023-12-13 00:00:00,41492.38000000,41506.00000000,41476.17000000,41476.18000000,23.92517000,2023-12-13 00:00:59.999,992730.34424060,1003,9.64939000,400429.35237980,0
2023-12-13 00:01:00,41476.18000000,41479.51000000,41435.13000000,41441.32000000,42.52961000,2023-12-13 00:01:59.999,1763006.43787410,1254,6.92112000,286888.93182410,0
2023-12-13 00:02:00,41441.32000000,41441.33000000,41394.27000000,41394.28000000,78.02927000,2023-12-13 00:02:59.999,3232067.56738100,1523,10.56972000,437816.93237760,0
2023-12-13 00:03:00,41394.27000000,41421.26000000,41394.27000000,41421.26000000,23.38614000,2023-12-13 00:03:59.999,968389.01562260,1037,13.11932000,543220.58593350,0
2023-12-13 00:04:00,41421.26000000,41430.44000000,41416.59000000,41424.95000000,14.50482000,2023-12-13 00:04:59.999,600873.86405110,822,4.46984000,185163.65606460,0
2023-12-13 00:05:00,41424.94000000,41424.95000000,41393.16000000,41400.91000000,20.37696000,2023-12-13 00:05:59.999,843667.64720890,873,9.98381000,413310.63576930,0
2023-12-13 00:06:00,41400.91000000,41430.47000000,41400.90000000,41430.47000000,28.12136000,2023-12-13 00:06:59.999,1164782.36618650,897,13.90552000,575887.07302480,0
2023-12-13 00:07:00,41430.46000000,41438.00000000,41406.57000000,41420.27000000,17.60608000,2023-12-13 00:07:59.999,729361.16725120,1145,7.75288000,321129.44067230,0
2023-12-13 00:08:00,41420.27000000,41420.27000000,41354.36000000,41361.36000000,31.99802000,2023-12-13 00:08:59.999,1324256.59070380,1367,15.86308000,656356.87554450,0
2023-12-13 00:09:00,41361.36000000,41391.09000000,41361.36000000,41389.36000000,24.66322000,2023-12-13 00:09:59.999,1020459.62113480,1071,8.46703000,350318.40790760,0
2023-12-13 00:10:00,41389.37000000,41405.48000000,41371.39000000,41405.46000000,36.42547000,2023-12-13 00:10:59.999,1507403.56189160,955,21.46251000,888234.47338580,0
2023-12-13 00:11:00,41405.46000000,41405.47000000,41374.82000000,41378.02000000,29.68169000,2023-12-13 00:11:59.999,1228365.35610930,757,15.70600000,649945.91349790,0
2023-12-13 00:12:00,41378.03000000,41382.95000000,41368.00000000,41371.11000000,12.02613000,2023-12-13 00:12:59.999,497603.02135850,598,5.06753000,209662.88110400,0
2023-12-13 00:13:00,41371.10000000,41401.00000000,41371.10000000,41399.42000000,19.34438000,2023-12-13 00:13:59.999,800678.85760110,679,5.98346000,247661.17936290,0
